Left GC Pressure,Right GC Pressure,Area
0.3,2.7,88.37
0.6,2.4,95.16
0.9,2.1,98.8
1.2,1.8,100.49
1.5,1.5,100.89
1.8,1.2,100.27
2.1,0.9,98.35
2.4,0.6,94.44
2.7,0.3,87.89
3,4.44089e-16,65.5
