Left GC Pressure,Right GC Pressure,Area
0.8,7.2,122.81
1.6,6.4,133.16
2.4,5.6,137.87
3.2,4.8,139.59
4,4,139.91
4.8,3.2,138.92
5.6,2.4,136.7
6.4,1.6,130.09
7.2,0.8,120.76
8,8.88178e-16,92.37
