Left GC Pressure,Right GC Pressure,Area
0.6,5.4,110.37
1.2,4.8,119.42
1.8,4.2,123.98
2.4,3.6,125.49
3,3,125.9
3.6,2.4,125.12
4.2,1.8,123.07
4.8,1.2,117.43
5.4,0.6,108.81
6,8.88178e-16,82.67
