Left GC Pressure,Right GC Pressure,Area
0.5,4.5,103.83
1,4,111.87
1.5,3.5,116.27
2,3,117.83
2.5,2.5,118.27
3,2,117.53
3.5,1.5,115.54
4,1,110.55
4.5,0.5,102.25
5,0,76.93
