Left GC Pressure,Right GC Pressure,Area
0.2,1.8,78.89
0.4,1.6,84.96
0.6,1.4,88.23
0.8,1.2,89.87
1,1,90.44
1.2,0.8,89.82
1.4,0.6,88.12
1.6,0.4,84.52
1.8,0.2,78.93
2,2.22045e-16,59.56
