Left GC Pressure,Right GC Pressure,Area
0.4,3.6,96.51
0.8,3.2,103.84
1.2,2.8,108.01
1.6,2.4,109.53
2,2,110.01
2.4,1.6,109.32
2.8,1.2,107.43
3.2,0.8,102.78
3.6,0.4,95.27
4,4.44089e-16,71.62
