Left GC Pressure,Right GC Pressure,Area
0.7,6.3,116.59
1.4,5.6,126.54
2.1,4.9,131.11
2.8,4.2,132.69
3.5,3.5,133.17
4.2,2.8,132.27
4.9,2.1,130.03
5.6,1.4,124.01
6.3,0.7,114.86
