young_E1E3: 	40
young_E2: 	400
poisson: 	0.3
z_scale: 	1.55
thickness: 	1.0
Pressure, Area, Length
1,123.1,0
2,142.94,0
3,158.84,0
4,172.56,0
5,184.99,0
6,196.22,0
