young_E1E3: 	40
young_E2: 	400
poisson: 	0.3
z_scale: 	1.55
thickness: 	1.0
Pressure, Area, Length
1,88.91,0
2,106.24,0
3,120.27,0
4,132.6,0
5,143.56,0
6,152.83,0
