Left GC Pressure,Right GC Pressure,Area
0.1,0.9,67.93
0.2,0.8,72.26
0.3,0.7,74.97
0.4,0.6,76.47
0.5,0.5,76.97
0.6,0.4,76.35
0.7,0.3,74.89
0.8,0.2,72.3
0.9,0.1,68.22
1,0,53.14
