Left GC Pressure,Right GC Pressure,Area
0.8,7.2,122.8
1.6,6.4,133.07
2.4,5.6,137.84
3.2,4.8,139.59
4,4,139.91
4.8,3.2,138.9
5.6,2.4,136.72
6.4,1.6,130.11
7.2,0.8,120.85
8,0,92.39
