Left GC Pressure,Right GC Pressure,Area
0.3,2.7,88.37
0.6,2.4,95.05
0.9,2.1,98.81
1.2,1.8,100.51
1.5,1.5,100.88
1.8,1.2,100.25
2.1,0.9,98.36
2.4,0.6,94.42
2.7,0.3,87.87
3,0,65.68
