Left GC Pressure,Right GC Pressure,Area
0.6,5.4,110.55
1.2,4.8,119.35
1.8,4.2,123.93
2.4,3.6,125.51
3,3,125.9
3.6,2.4,125.13
4.2,1.8,123.07
4.8,1.2,117.44
5.4,0.6,108.89
6,0,82.72
