Left GC Pressure,Right GC Pressure,Area
0.4,3.6,96.62
0.8,3.2,103.85
1.2,2.8,107.99
1.6,2.4,109.54
2,2,109.99
2.4,1.6,109.33
2.8,1.2,107.43
3.2,0.8,102.83
3.6,0.4,95.58
4,0,71.51
