CCIndex, Label, PosX, PosY, PosZ, eVec1X, eVec1Y, eVec1Z, eVec2X, eVec2Y, eVec2Z, eVal1, eVal2, eVal3
65536,0,-7.50642,-5.21961,3.56842,0.95238,0.292373,-0.0865422,-0.302693,0.94075,-0.152861,4.28541,0.343704,0
73728,0,-5.86118,17.6681,-0.269321,0.658096,0.551728,0.512353,0.418471,0.297677,-0.858062,1.99519,1.09267,0
40960,0,0.101969,-15.1833,-5.49253,-0.102684,-0.906603,0.4093,-0.978809,0.165379,0.120755,8.86596,6.48195,0
69632,0,-2.99132,-9.75956,4.31559,0.765484,0.636034,-0.0974406,-0.524077,0.704138,0.479096,3.5678,-0.333016,0
53248,0,11.0401,10.8942,5.17342,0.73401,0.622088,-0.272463,-0.65361,0.756039,-0.0346206,31.1335,12.398,0
45056,0,0.061096,13.4359,3.38427,0.407251,-0.913314,-0.00209023,-0.371521,-0.163571,-0.913902,7.872,5.12384,0
61440,0,-12.8273,7.16851,-2.03921,-0.00424377,-0.340987,0.940058,-0.337971,-0.88426,-0.322273,1.06721,-0.235239,0
67584,0,-4.924,-7.46348,-5.25026,-0.699849,-0.643251,-0.310547,0.580122,-0.765516,0.278287,3.82156,1.02589,0
51200,0,5.96887,14.6372,-5.50724,0.560682,-0.749936,-0.351044,-0.827249,-0.4889,-0.276831,18.3825,16.2869,0
75776,0,-3.13833,15.8442,3.75579,0.439244,-0.823492,0.359062,-0.86589,-0.494575,-0.0750351,7.13909,-0.581612,0
43008,0,5.80322,-5.57658,-0.253372,0.892001,0.430144,0.138965,0.154604,-0.0014252,-0.987976,18.2412,14.4423,0
59392,0,-14.2794,-5.12396,-1.99123,-0.175335,-0.0912616,0.98027,-0.217395,0.974705,0.0518594,0.920083,-0.884761,0
71680,0,-1.66091,-15.4238,-3.80677,0.203936,0.769275,-0.605497,-0.835398,-0.185717,-0.517319,9.23025,-1.24414,0
47104,0,10.1482,-2.30536,1.9686,0.382222,-0.0298345,0.923589,-0.271932,-0.958854,0.0815639,43.4864,12.7081,0
63488,0,-8.71154,-9.94786,-5.4236,-0.843132,-0.448608,0.296445,-0.499267,0.857841,-0.121824,3.31811,-0.104406,0
50176,0,5.2621,14.3721,5.62799,0.945244,0.283875,-0.161025,-0.310403,0.934381,-0.174876,14.257,10.276,0
74752,0,0.0266295,4.44714,-1.44573,0.85668,0.509897,-0.0781252,0.132169,-0.0705698,0.988712,5.64803,2.20482,0
41984,0,2.68496,-17.9798,3.57915,0,0,0,0,0,0,0,0,0
58368,0,15.6801,12.3678,0.46368,0.144481,0.063565,-0.987464,-0.706054,0.705789,-0.0578732,24.2494,7.96558,0
46080,0,5.71987,7.61059,3.5659,0.578701,0.386905,0.71792,-0.700947,0.685939,0.19535,35.6653,18.799,0
62464,0,-10.0223,-14.1115,0.824134,0.204203,0.554612,0.806664,-0.636144,0.701502,-0.321272,3.864,-0.0534567,0
52224,0,10.9429,8.4435,5.31922,0.754582,0.651093,0.0817581,-0.655394,0.753972,0.0445509,27.7314,12.3544,0
76800,0,-0.954578,17.1652,-2.14241,0,0,0,0,0,0,0,0,0
