CCIndex, Label, PosX, PosY, PosZ, eVec1X, eVec1Y, eVec1Z, eVec2X, eVec2Y, eVec2Z, eVal1, eVal2, eVal3
81920,0,-0.124273,-19.6228,-4.18573,0,0,0,0,0,0,0,0,0
49152,0,5.20134,5.12366,1.6412,0.189849,0.0415397,0.980934,-0.741143,0.661349,0.115434,78.7585,27.3725,0
53248,0,19.2192,1.999,5.42026,0.737568,0.110573,-0.666159,-0.120496,0.992221,0.0312821,36.9665,19.6107,0
77824,0,-1.4033,-8.61119,-4.40172,-0.605739,-0.732801,-0.309972,0.724936,-0.668861,0.164595,8.50842,0.823297,0
61440,0,4.9052,-16.752,3.88871,0.752485,-0.102291,-0.650617,-0.640917,0.113701,-0.759143,9.40547,1.8815,0
75776,0,-0.673676,-4.49059,-3.07243,-0.717362,-0.171269,-0.675321,-0.315161,0.94424,0.0953102,10.4785,4.56446,0
43008,0,-0.00269629,17.3983,2.78487,0,0,0,0,0,0,0,0,0
59392,0,18.7088,-9.22647,0.284149,0.042698,-0.0199805,-0.998888,-0.501513,-0.86514,-0.00413226,25.4575,9.59164,0
71680,0,-4.83344,1.95904,5.38712,0.921561,-0.0453926,-0.385571,-0.0680908,-0.996645,-0.0454117,4.04416,1.90562,0
55296,0,6.61384,-6.75671,4.22961,0.585303,-0.47467,0.657349,-0.620746,-0.783898,-0.0133389,43.051,17.9097,0
47104,0,3.51304,9.92195,5.96053,0.394453,0.735113,0.551376,-0.836581,0.53553,-0.115498,41.9935,21.3396,0
63488,0,-5.22697,18.4919,2.13197,0,0,0,0,0,0,0,0,0
66560,0,-4.91137,12.1237,-3.65787,-0.537022,0.627958,0.563273,-0.669173,-0.723681,0.1688,4.1121,-0.745029,0
50176,0,6.3675,3.66235,-0.498595,-0.181433,-0.0303289,0.982936,-0.504012,0.861136,-0.0664611,74.8709,30.5375,0
