CCIndex, Label, PosX, PosY, PosZ, eVec1X, eVec1Y, eVec1Z, eVec2X, eVec2Y, eVec2Z, eVal1, eVal2, eVal3
32768,0,9.46387,-5.55163,-7.12309,-0.90723,0.271244,0.321498,-0.290352,-0.956844,-0.0120609,28.6341,10.7746,0
16384,0,-11.4939,8.88301,-4.43999,-0.844332,0.307913,0.438513,0.307244,0.948704,-0.074575,10.1295,0.706466,0
24576,0,0.225551,-19.7767,0.283276,0,0,0,0,0,0,0,0,0
36864,0,15.6692,-7.34303,-6.111,-0.706328,0.303611,-0.639469,-0.413909,-0.909971,0.0251438,22.6353,7.50753,0
20480,0,-5.24771,-9.96012,-5.11388,0.723421,0.688873,0.046011,0.685311,-0.708401,-0.168868,10.7992,1.434,0
28672,0,5.72387,-3.37864,-0.763837,0.223501,0.0443866,0.973693,-0.52553,-0.835836,0.158732,39.3187,25.0357,0
34816,0,10.7983,-15.1455,-5.1723,-0.410417,0.47149,-0.780548,-0.827223,-0.552704,0.101098,16.5911,5.24486,0
18432,0,-8.94665,0.591063,-4.97525,-0.985278,-0.0392517,-0.166393,-0.0411084,0.999125,0.00772785,12.2341,2.92739,0
26624,0,2.982,-15.6878,0.121038,0.542667,-0.814044,-0.20699,0.469775,0.0898634,0.8782,9.00755,3.82058,0
22528,0,-2.34615,12.045,3.99117,0.627558,-0.62766,-0.460667,-0.615936,-0.762154,0.19936,6.02641,1.00083,0
14336,0,-14.0726,4.35362,-3.56926,-0.733171,0.186078,0.654091,-0.187633,-0.979852,0.0684331,8.56685,1.10158,0
30720,0,7.04761,10.1735,4.46323,0.721201,0.632567,0.282362,-0.673908,0.73504,0.0745906,27.5098,10.2936,0
33792,0,10.9374,10.1671,-6.8346,0.824126,0.547659,0.144519,-0.562763,0.820617,0.0994291,23.9201,8.2051,0
17408,0,-9.14261,-13.4985,-3.04939,-0.445386,-0.52833,0.722841,-0.745457,0.665988,0.0274546,9.08707,-0.123229,0
25600,0,1.57902,-11.7944,-5.63159,-0.623312,-0.479929,-0.617373,-0.582939,0.811418,-0.0422278,2.96004,-1.78388,0
37888,0,16.927,-8.57474,-3.86472,-0.378694,0.124571,-0.9171,-0.433425,-0.899397,0.0568064,22.3159,4.6972,0
21504,0,-4.4791,1.64152,3.20368,0.537203,0.0527455,-0.841802,-0.0274323,0.998607,0.0450644,13.6398,5.52002,0
13312,0,-16.3268,2.73079,1.36903,0.163817,-0.00144467,0.98649,-0.143039,-0.989466,0.0223041,9.965,-0.8085,0
29696,0,6.86839,4.24378,0.722748,0.386491,0.198231,0.900738,-0.460092,0.887869,0.0020185,37.6339,17.8483,0
35840,0,14.7547,3.68292,-7.2483,-0.9467,-0.160416,-0.279332,-0.177985,0.983278,0.0385354,23.4564,9.15707,0
19456,0,-7.40603,18.7248,0.502406,0,0,0,0,0,0,0,0,0
27648,0,0.254577,19.9635,0.0598014,0,0,0,0,0,0,0,0,0
23552,0,-2.69143,13.6936,-3.73888,0.391332,-0.0361298,-0.91954,-0.443411,0.868182,-0.222816,13.4282,4.13063,0
15360,0,-12.3026,-5.6519,5.81661,0.766231,0.435708,0.472279,-0.370955,0.900088,-0.228548,10.5497,2.78497,0
31744,0,6.25873,-18.6376,-3.92595,0,0,0,0,0,0,0,0,0
33280,0,8.87748,-18.0601,-1.97882,0,0,0,0,0,0,0,0,0
16896,0,-10.7669,-5.78797,-4.62034,-0.915724,-0.294312,0.273552,-0.319876,0.945974,-0.0530294,8.88879,1.41005,0
25088,0,1.30108,-18.9977,0.813713,0,0,0,0,0,0,0,0,0
37376,0,16.0062,-8.32016,2.18348,0.582532,-0.286328,-0.760705,-0.38816,-0.920281,0.0491482,21.9019,5.90859,0
20992,0,-5.01443,17.7107,-4.2749,0,0,0,0,0,0,0,0,0
29184,0,2.54951,20.1538,0.110857,-0.224244,-0.353981,0.907971,-0.920709,-0.228397,-0.316433,15.4181,2.16099,0
35328,0,13.2168,12.6286,-5.14914,-0.590147,-0.391156,-0.706204,-0.625481,0.774599,0.0936501,22.7978,7.04196,0
18944,0,-7.54538,-10.4934,5.96172,0.822572,0.53949,0.179794,-0.566962,0.802466,0.18602,10.1111,0.980857,0
27136,0,-0.570804,12.7787,3.73645,0.648118,0.578079,0.49575,-0.684164,0.727897,0.045662,11.3371,6.79805,0
23040,0,-2.35251,-7.7584,4.32983,0.513194,0.651315,-0.558946,-0.712519,0.686378,0.14561,15.2614,4.67915,0
14848,0,-13.4817,1.7021,5.44134,0.88028,-0.0188511,0.47408,-0.0524228,-0.996957,0.0576971,8.80531,1.89807,0
31232,0,7.03656,-7.11095,-6.41986,-0.765045,0.410401,0.496262,-0.478631,-0.877937,-0.0118238,37.4157,12.1826,0
34304,0,11.3772,-3.86117,4.22646,0.968724,-0.184675,0.165737,-0.191871,-0.98101,0.0283679,29.2814,9.77699,0
17920,0,-9.75508,14.4998,3.93624,0.689018,-0.446351,0.570986,-0.564325,-0.824757,0.0362517,12.0297,0.367834,0
26112,0,1.46161,-12.9653,-3.21339,0.137581,0.314201,-0.939334,0.115898,0.936732,0.330305,10.5154,4.71503,0
38400,0,18.9223,-1.86914,0.36378,0.368939,-0.0529364,-0.927945,-0.0774096,-0.996658,0.0260792,21.3519,6.80925,0
22016,0,-2.45444,-15.5329,4.07057,0.342027,0.87037,0.354223,-0.935192,0.278442,0.218827,12.2943,0.831451,0
13824,0,-14.794,5.3804,3.6065,0.575402,-0.174706,0.798993,-0.275695,-0.961175,-0.0116242,8.19094,0.232494,0
