Mesh,Pressure,Area
1_2,5,152.71
1_3,5,159.98
1_4,5,145.64
1_5,5,184.03
1_6,5,203.46
1_8,5,163.81
2_1,5,162.43
2_3,5,184.9
2_4,5,54.34
2_6a,5,87.42
2_6b,5,38.2
2_7a,5,143.38
3_1,5,66.47
3_2,5,105.75
3_3,5,38.18
3_4,5,108.67
3_6,5,162.5
3_7,5,92.21
