CCIndex, Label, PosX, PosY, PosZ, eVec1X, eVec1Y, eVec1Z, eVec2X, eVec2Y, eVec2Z, eVal1, eVal2, eVal3
65536,0,5.40886,-18.0838,-1.61246,-0.345276,0.413573,-0.842461,-0.846033,-0.525705,0.0886663,4.95298,-0.0506937,0
81920,0,17.8563,6.64874,0.941829,0.243974,-0.0483568,-0.968575,-0.338441,0.931716,-0.131766,12.637,1.87447,0
57344,0,-3.09482,-6.39293,-0.409962,0.753756,-0.180389,0.631911,-0.326872,0.731279,0.598654,56.7679,19.4964,0
69632,0,1.76876,15.2363,-5.97171,-0.788023,-0.16577,0.592908,0.0539423,-0.977954,-0.201731,3.81056,2.16296,0
53248,0,-3.21833,-17.2468,4.64009,0.176531,-0.570443,-0.802142,-0.808209,-0.549155,0.212666,2.44147,0.763111,0
77824,0,11.2015,13.9381,-4.0936,-0.397653,-0.399828,-0.825839,-0.733211,0.679576,0.0240362,15.7875,2.37333,0
61440,0,0.973754,14.7324,-2.06369,-0.0560939,0.402993,-0.913483,0.0923271,0.913097,0.397153,3.32696,-0.878339,0
67584,0,7.2691,-16.9237,-0.766312,-0.161632,0.335326,-0.928134,-0.847563,-0.52891,-0.0434895,14.9602,-0.389115,0
51200,0,-5.93802,-13.0621,-4.76971,-0.620743,-0.774697,-0.120507,-0.782766,0.621059,0.0395364,16.8996,1.08026,0
43008,0,-18.7177,-1.05102,-2.15376,-0.424656,0.0448545,0.904243,-0.0547995,0.995667,-0.0751247,12.8973,3.93441,0
59392,0,-2.8252,17.9327,-4.38487,0.335285,-0.245217,-0.909644,-0.940989,-0.0399302,-0.336074,10.2387,2.23804,0
71680,0,6.92461,6.62761,4.67282,0.802661,0.392465,0.449117,-0.443115,0.896423,0.00858867,19.9742,6.45695,0
47104,0,-10.2425,-12.8642,6.03003,0.666328,0.597486,0.446114,-0.632753,0.769603,-0.0856414,16.1736,4.22487,0
63488,0,0.692519,-14.8315,7.06654,0.713835,-0.699773,-0.0274971,-0.698838,-0.709234,-0.0928053,8.59593,4.01802,0
66560,0,5.91567,-17.6128,3.42279,0.235473,-0.356093,-0.904296,-0.863114,-0.504331,-0.026154,12.5885,1.11136,0
50176,0,-6.94071,-11.3142,-4.67246,-0.801934,-0.575944,-0.158715,-0.591704,0.802366,0.0780636,18.3104,2.98314,0
74752,0,10.4246,6.49613,5.58527,0.924294,0.377278,0.0578148,-0.372913,0.924921,-0.0738788,20.4368,6.20596,0
41984,0,-19.1703,-0.991247,0.646242,0.110494,0.069391,0.991451,-0.0792465,0.994999,-0.0608075,16.4438,1.85929,0
58368,0,-5.51283,17.4796,2.49258,0.357167,-0.428628,0.829886,-0.808536,-0.586728,0.0449392,14.8215,1.24474,0
54272,0,-8.85609,16.2799,0.509737,0.189091,-0.221756,0.956592,-0.817276,-0.575559,0.0281266,14.1964,0.487893,0
68608,0,1.41748,17.5257,2.2546,0.275521,0.931862,-0.236053,-0.94522,0.217901,-0.24306,2.65535,-0.0964915,0
52224,0,-4.67949,-15.5257,6.21541,0.455192,0.864399,0.213578,-0.876322,0.392443,0.27937,13.1439,3.47658,0
76800,0,11.9486,10.7307,4.4588,0.742774,0.440989,-0.503801,-0.571571,0.809521,-0.134097,16.3928,4.96222,0
44032,0,-12.7458,-14.831,1.59314,0.0814886,0.0938262,0.992248,-0.591483,0.805844,-0.0276244,13.3975,2.16884,0
60416,0,-0.803218,13.8127,4.84819,0.740124,-0.619297,-0.262083,-0.617256,-0.780293,0.100685,7.0259,2.63282,0
56320,0,-1.91895,-9.63698,1.21136,0.0280217,-0.00333345,-0.999602,-0.0638076,-0.997961,0.00153927,31.8148,6.43876,0
80896,0,17.9878,4.76035,-2.88091,-0.422016,-0.146128,-0.894734,-0.303052,0.95289,-0.012687,14.6652,5.04442,0
48128,0,-9.41111,-10.8484,-4.60371,-0.845674,-0.513168,0.146605,-0.516057,0.856308,0.0205603,19.8845,1.42177,0
64512,0,2.45442,-16.2498,-4.42033,-0.278305,0.879727,-0.38552,-0.95366,-0.300882,0.00185273,14.518,3.83256,0
