CCIndex, Label, PosX, PosY, PosZ, eVec1X, eVec1Y, eVec1Z, eVec2X, eVec2Y, eVec2Z, eVal1, eVal2, eVal3
81920,0,1.6322,14.2126,-6.41298,0.424069,0.903668,0.0595769,0.830819,-0.362015,-0.422711,21.726,18.3838,0
49152,0,-3.03678,-8.87568,5.06928,0.632856,0.766395,-0.110144,-0.709489,0.630971,0.313848,8.41103,0.0777681,0
73728,0,10.3653,-1.61373,-8.22044,-0.911066,0.128367,0.391767,-0.135598,-0.99072,0.00928548,47.3784,17.7841,0
77824,0,13.2549,9.15375,5.11256,0.844787,0.404577,-0.350218,-0.432164,0.901795,-0.000689472,43.1943,14.2759,0
61440,0,-2.39841,14.256,-3.61967,0.272701,-0.958573,0.0822896,-0.961362,-0.268146,0.0622936,21.2967,-1.23306,0
67584,0,13.0146,-11.7453,3.71956,0.664006,-0.499811,-0.556134,-0.647441,-0.756391,-0.0932362,35.7955,14.7589,0
75776,0,6.10183,-0.751114,-0.144988,0.297723,-0.165609,0.940178,-0.125342,-0.983094,-0.133476,89.4904,42.3842,0
43008,0,-0.25488,-20.3309,-0.969346,0,0,0,0,0,0,0,0,0
59392,0,-1.40385,11.6543,4.80731,0.562089,-0.822564,0.0862823,-0.666631,-0.512325,-0.541411,4.75284,0.270444,0
47104,0,-6.63611,-14.0584,-2.01355,0.552859,0.807558,-0.205419,0.572536,-0.189026,0.797792,12.363,-0.145112,0
82944,0,1.92912,16.7328,-4.91308,0.223769,0.600934,0.767337,-0.974617,0.132273,0.180628,17.7414,4.03091,0
50176,0,0.110509,-6.21456,-2.14069,0.673147,0.705388,0.222039,0.385826,-0.591146,0.708297,10.8793,0.44927,0
74752,0,17.2125,3.94152,3.88411,0.80262,0.166818,-0.572689,-0.209335,0.977807,-0.00855803,34.9275,16.9814,0
58368,0,-10.0901,2.11053,4.89219,0.683054,-0.0314143,0.729692,-0.0470379,0.995108,0.0868724,1.36621,-0.126135,0
46080,0,-7.98861,-16.5042,2.25028,0.258204,0.740938,0.619952,-0.758755,0.552752,-0.34461,8.03109,0.630442,0
52224,0,-12.1671,-5.60314,-0.832987,-0.313852,-0.0594169,0.947611,-0.192618,0.981271,-0.00226857,2.04729,-0.496188,0
60416,0,-9.96498,5.99469,4.67132,0.686999,0.00762334,0.726618,-0.111595,-0.986976,0.115865,0.976621,0.168284,0
72704,0,20.4859,3.19967,-1.41061,0.070729,0.0242584,-0.997201,-0.10519,0.994311,0.0167272,25.9814,10.6035,0
56320,0,-7.30439,1.08281,-5.00605,0.590166,-0.0727221,-0.804,-0.797958,-0.203481,-0.567326,0.729679,-0.0302322,0
64512,0,3.30054,-19.7538,-3.20679,0,0,0,0,0,0,0,0,0
66048,0,3.82336,-16.967,1.97546,0.571778,-0.451486,-0.685004,-0.8193,-0.357629,-0.448162,7.63842,2.14457,0
49664,0,-2.47784,-6.95494,5.01143,0.688317,0.676667,-0.261422,-0.610204,0.734971,0.295751,7.65683,0.14485,0
74240,0,13.0718,1.54901,-8.83128,-0.987422,-0.154945,0.0314616,0.154804,-0.987921,-0.00689275,44.7814,19.4567,0
57856,0,0.672538,10.7229,3.20476,-0.553199,-0.15084,-0.819279,-0.390918,0.915467,0.0954092,32.2785,17.9673,0
70144,0,3.79236,-10.4323,-6.84925,-0.582727,0.626851,0.517191,-0.711141,-0.701354,0.0488092,36.186,19.3378,0
45568,0,-6.52099,-16.8971,2.97157,0,0,0,0,0,0,0,0,0
51712,0,2.27526,-0.695736,0.330163,0.025497,-0.999173,-0.0316701,-0.0311362,-0.0324588,0.998988,16.0685,4.47208,0
76288,0,6.69005,1.4032,-4.99385,-0.482451,-0.0620406,0.873723,-0.19858,0.979263,-0.0401166,63.0209,21.7032,0
59904,0,-11.799,2.24541,0.699558,0.0158269,-0.0649634,0.997762,-0.0984853,0.992933,0.0662112,3.21771,0.250969,0
72192,0,18.7882,1.22274,-6.4515,-0.67363,-0.0240647,-0.738677,-0.0565167,0.99822,0.0190199,35.8825,13.9478,0
55808,0,-11.4573,0.224915,-0.546433,-0.247697,-0.180948,0.95179,-0.408463,-0.871322,-0.27195,0.923836,0.258508,0
47616,0,-6.30963,-12.5054,4.70129,0.527516,0.791753,0.307985,-0.846837,0.518987,0.116272,5.28308,0.0629529,0
64000,0,-4.42494,19.1817,-1.34,0,0,0,0,0,0,0,0,0
67072,0,9.95688,-13.8111,-6.7767,0.544141,-0.624521,0.560254,-0.819823,-0.53772,0.196843,38.2407,12.4515,0
83456,0,2.80363,19.4466,-3.2489,0,0,0,0,0,0,0,0,0
50688,0,1.26391,-4.298,-1.80572,-0.746497,-0.431756,-0.506289,0.32295,-0.90036,0.291641,9.18979,2.72841,0
75264,0,18.5119,7.76339,1.18099,0.36264,0.225943,-0.904125,-0.332683,0.937628,0.100878,36.4825,12.863,0
58880,0,-4.18367,7.54449,-3.85322,0.788807,-0.614482,-0.0139552,0.597177,0.760823,0.254024,5.37203,1.17791,0
71168,0,11.8683,-5.849,5.13272,0.931826,-0.360767,0.0393316,-0.359167,-0.932312,-0.0423449,48.4251,16.9337,0
79360,0,14.4083,14.3738,0.891123,0.192161,0.271261,-0.943129,-0.757213,0.652317,0.0333377,31.3494,10.6129,0
46592,0,-8.65558,-16.0656,-1.07198,0.431131,0.822373,-0.371253,0.0123132,-0.416781,-0.908924,13.8606,-0.776091,0
62976,0,-9.27529,11.3148,-0.677799,-0.343299,0.188012,0.920216,-0.338708,-0.938615,0.0654112,1.84897,-0.439872,0
69120,0,19.5694,-5.33879,-4.6706,-0.35691,0.240171,-0.902737,-0.269885,-0.951684,-0.14649,24.8881,12.5664,0
52736,0,-11.1051,-5.46783,-2.65852,-0.667798,0.0431476,0.743091,-0.0624515,0.991551,-0.113698,2.11645,0.35777,0
77312,0,9.33373,6.48385,-8.27755,-0.838436,-0.470681,0.274743,-0.476618,0.877733,0.0492036,53.6573,20.4218,0
44544,0,-4.00286,-18.0875,2.62564,0,0,0,0,0,0,0,0,0
60928,0,-5.48106,11.221,4.75129,0.645479,-0.716145,0.265505,-0.763032,-0.589276,0.265586,6.68561,0.0610232,0
73216,0,6.5191,-4.049,2.47058,0.611448,-0.282984,0.738953,-0.435558,-0.900023,0.0157379,63.0125,17.88,0
56832,0,-4.00439,4.64329,-4.57316,0.912864,-0.399938,0.0820346,0.356874,0.879277,0.315457,3.35286,0.935061,0
48640,0,-3.35677,-9.80624,5.03583,0.636194,0.769186,-0.060088,-0.724402,0.622321,0.296579,7.15454,0.176365,0
