CCIndex, Label, PosX, PosY, PosZ, eVec1X, eVec1Y, eVec1Z, eVec2X, eVec2Y, eVec2Z, eVal1, eVal2, eVal3
49152,0,-15.3265,-10.2627,4.29042,0.495552,0.479231,0.724407,-0.507051,0.836765,-0.206698,16.4656,6.15841,0
73728,0,8.90591,6.67364,-5.96479,-0.877683,-0.404211,0.257462,-0.437042,0.895517,-0.0839204,22.8022,5.38259,0
57344,0,-6.49434,2.67757,2.85561,0.549027,-0.0844423,-0.831528,-0.295602,-0.950201,-0.0986816,26.0423,8.50098,0
69632,0,4.88533,-4.17279,2.00786,0.346404,-0.292479,0.891325,-0.619942,-0.784474,-0.0164828,29.594,13.748,0
53248,0,-11.1986,-16.8184,-0.532568,0.0724432,-0.118297,0.990332,-0.842308,0.524477,0.124265,14.5154,2.17191,0
45056,0,-18.2098,-0.532267,3.45486,0.585335,-0.0128399,0.81069,-0.0381327,-0.999204,0.011707,17.0221,4.09075,0
61440,0,-0.523494,10.5145,-4.7091,-0.444572,0.678945,-0.584286,-0.823858,-0.565959,-0.0307902,11.7619,6.61461,0
75776,0,9.56185,-2.35979,-5.48919,-0.903184,0.184689,0.387489,-0.209013,-0.977683,-0.0211879,20.1084,4.86992,0
59392,0,-5.17948,-13.9015,5.24625,0.388955,0.913674,0.117956,-0.916004,0.3699,0.155278,12.916,4.18145,0
55296,0,-5.07169,14.2299,4.9453,0.482863,-0.835706,0.261608,-0.873635,-0.439242,0.209354,13.9888,0.909901,0
47104,0,-12.4068,14.2413,-0.958324,-0.0876912,0.161693,0.982937,-0.757928,-0.651142,0.0394953,13.0573,-0.207199,0
82944,0,16.8098,10.1764,-0.669267,-0.100846,-0.0384775,-0.994158,-0.467375,0.88396,0.0131973,14.9234,1.20821,0
50176,0,-14.4149,-13.4366,2.88627,0.345991,0.274281,0.897251,-0.646161,0.763036,0.0159148,14.8291,5.95497,0
74752,0,8.94304,0.876559,4.82244,0.855983,0.0518447,0.514398,-0.0620895,0.998067,0.00272764,23.2372,5.32685,0
58368,0,-6.15578,-3.7335,-2.80714,-0.573596,-0.0602003,-0.816923,-0.363512,0.912423,0.187999,23.7956,9.09339,0
70656,0,2.26693,-12.1719,4.66218,0.546858,-0.78455,0.292281,-0.803482,-0.58991,-0.0801391,15.1182,2.81203,0
78848,0,11.6763,-4.58206,-6.03625,0.954778,-0.297236,-0.00707145,-0.297291,-0.954747,-0.00869446,18.2683,4.83203,0
46080,0,-15.9549,8.28137,-3.12674,-0.533152,0.256385,0.806236,-0.47406,-0.879847,-0.033696,15.209,2.58648,0
62464,0,-3.17704,-6.73266,-2.57646,-0.606195,-0.165504,-0.777905,-0.625621,0.703138,0.337928,38.4178,12.7704,0
52224,0,-11.8525,-16.356,0.825973,0.182681,0.0390008,0.982398,-0.83582,0.532325,0.134291,15.4559,3.51119,0
44032,0,-16.8386,8.84914,-0.357742,-0.091322,0.0408492,0.994983,-0.506531,-0.86215,-0.011095,16.6076,0.264314,0
60416,0,-0.426598,15.5114,-5.38011,-0.179084,-0.916658,-0.357304,0.711011,-0.371602,0.596972,5.12866,3.80531,0
72704,0,7.91645,13.7352,5.67745,0.62168,0.741026,-0.25376,-0.761992,0.647175,0.0230897,16.784,0.916518,0
80896,0,14.3956,-4.16937,5.31549,0.9043,-0.224406,-0.363156,-0.25494,-0.966219,-0.0377703,17.3928,6.06287,0
48128,0,-15.4155,-10.8133,-3.60888,-0.497974,-0.334081,0.800258,-0.515481,0.856118,0.0366336,16.1918,4.09678,0
66048,0,0.358218,12.6838,-5.24156,-0.467158,-0.550276,0.692069,0.519193,-0.804296,-0.289045,7.56359,0.180876,0
82432,0,14.7368,-9.80325,-3.51532,-0.524807,0.324295,-0.787026,-0.540865,-0.840991,0.0141298,14.9319,3.08899,0
49664,0,-11.4002,9.2707,5.52879,0.797782,-0.547648,0.252243,-0.575128,-0.816789,0.0456449,13.506,3.97238,0
57856,0,-1.77038,19.3525,-0.300554,0,0,0,0,0,0,0,0,0
70144,0,5.31944,12.9263,5.67442,0.580201,0.814103,0.0245411,-0.810462,0.580068,-0.0816839,17.8726,4.11759,0
53760,0,-9.93183,1.72327,-5.27324,-0.90775,0.125782,-0.40021,-0.146498,-0.988978,0.0214577,20.0344,5.02512,0
78336,0,13.3156,13.1897,-3.5726,-0.434699,-0.409797,-0.801937,-0.696579,0.717396,0.0109926,16.1473,3.27993,0
45568,0,-18.0708,-7.74732,0.998444,0.173301,0.0233743,0.984592,-0.288889,0.956949,0.0281302,14.06,2.0667,0
61952,0,0.217097,16.3455,-1.83818,-0.0182024,-0.482865,-0.875506,-0.162088,-0.862642,0.479141,1.12631,0.160273,0
68096,0,3.38321,15.6735,-6.09037,0.272694,0.924764,0.265425,-0.961673,0.270225,0.046521,16.6319,4.74005,0
84480,0,18.4006,-2.9911,1.49545,0.275691,-0.0478274,-0.960056,-0.209353,-0.977774,-0.0114082,14.671,2.07149,0
51712,0,-10.8476,5.03221,-5.72863,-0.95307,0.285341,-0.101179,-0.28571,-0.958251,-0.011139,19.1895,4.74869,0
43520,0,-18.7784,4.09865,-0.0810806,-0.031562,-0.00200903,0.9995,-0.198034,-0.980161,-0.00822366,12.1501,0.249929,0
59904,0,-2.86056,6.73374,-2.92438,-0.690811,0.238442,-0.682587,-0.588336,-0.734136,0.338976,39.8405,15.0883,0
72192,0,5.78546,-4.61596,3.4191,0.595609,-0.32858,0.732998,-0.519886,-0.853302,0.0399327,23.0419,8.617,0
55808,0,-8.52507,-9.96904,-6.16228,-0.833078,-0.546486,-0.0856378,-0.549759,0.83511,0.0188724,21.8595,4.6821,0
80384,0,14.7087,12.8757,-2.1797,-0.286968,-0.249144,-0.924974,-0.666476,0.745503,0.00596739,17.2859,1.58019,0
47616,0,-15.1964,3.84451,5.37185,0.895625,-0.135754,0.423588,-0.182037,-0.980756,0.0705752,16.9901,5.50572,0
64000,0,-0.546356,-16.3875,4.63773,0.00201819,-0.881467,-0.472242,-0.989545,-0.0698618,0.126172,14.0031,1.47038,0
67072,0,1.80401,8.17282,-3.92711,-0.57036,-0.518928,0.636713,-0.738084,0.663943,-0.120046,33.4849,8.40816,0
83456,0,17.8164,5.96195,2.50767,0.450651,0.150668,-0.879894,-0.26266,0.964403,0.0306134,10.8225,3.62305,0
50688,0,-11.3145,5.92608,-5.7491,0.947834,-0.318546,-0.0117769,-0.318763,-0.947158,-0.0358028,21.1765,4.71528,0
75264,0,4.81644,-18.678,-0.792906,0,0,0,0,0,0,0,0,0
71168,0,6.61041,5.40238,4.43378,0.739291,0.295562,0.605056,-0.456905,0.880214,0.128298,24.2011,7.40147,0
54784,0,-9.2399,-4.70443,-5.52714,-0.875318,-0.257263,-0.409431,-0.305679,0.950469,0.0562886,22.1191,5.47038,0
79360,0,13.8149,14.1051,1.56071,0.171413,0.175234,-0.96949,-0.706328,0.707878,0.00306381,14.4544,2.87614,0
46592,0,-17.273,-3.85385,4.29171,0.714841,0.105471,0.691287,-0.159973,0.98701,0.0148342,14.6424,5.49221,0
62976,0,-2.63696,-9.7019,-4.86641,-0.494214,-0.649104,-0.578289,-0.830605,0.548921,0.0937064,26.7459,5.85809,0
69120,0,5.49428,15.5166,5.06253,0.348546,0.828444,-0.438401,-0.935315,0.337778,-0.105315,14.8824,4.25972,0
77312,0,12.2505,13.9115,3.86405,0.544136,0.349726,-0.762633,-0.665624,0.733294,-0.138649,17.8419,3.4616,0
44544,0,-17.4011,6.04131,-2.53598,-0.443696,0.124663,0.887464,-0.338604,-0.940193,-0.0372177,13.994,2.27131,0
60928,0,-4.12689,-9.31497,-5.12139,-0.636923,-0.58504,-0.502053,-0.718518,0.686503,0.11156,25.4382,5.70992,0
56832,0,-8.2635,-15.9071,4.2119,0.500574,0.628006,0.595847,-0.849186,0.489984,0.196976,18.4418,2.31636,0
81408,0,11.0783,-14.8294,-1.73356,-0.184038,0.224017,-0.957051,-0.799188,-0.60094,0.0130192,16.2747,0.172316,0
48640,0,-12.75,9.20172,5.15347,0.775806,-0.453368,0.438842,-0.512077,-0.858749,0.0181011,15.7402,4.14782,0
65024,0,0.632615,-18.6807,-2.95673,0,0,0,0,0,0,0,0,0
