CCIndex, Label, PosX, PosY, PosZ, eVec1X, eVec1Y, eVec1Z, eVec2X, eVec2Y, eVec2Z, eVal1, eVal2, eVal3
32768,0,8.48227,-5.57978,-6.93388,-0.919292,0.231202,0.318508,-0.237337,-0.971222,0.0199891,19.6324,6.46273,0
16384,0,-12.5409,9.09194,-4.7145,-0.82675,0.31355,0.467087,-0.33543,-0.941292,0.0381633,17.5437,3.53653,0
24576,0,0.225551,-19.7767,0.283276,0,0,0,0,0,0,0,0,0
36864,0,14.6495,-7.14164,-6.017,-0.723578,0.290203,-0.626273,-0.388962,-0.920976,0.0226318,15.1496,3.72626,0
20480,0,-6.26952,-10.4243,-5.56955,0.706311,0.707318,0.0287328,0.697526,-0.688462,-0.198692,18.0802,4.60873,0
28672,0,4.53436,-3.49656,-0.853254,0.323638,0.220274,0.920184,-0.454382,-0.816862,0.355351,25.202,19.2482,0
34816,0,10.6555,-15.0083,-5.08096,-0.414032,0.55826,-0.718974,-0.758296,-0.648475,-0.0668427,13.9077,2.5516,0
18432,0,-10.4345,0.395547,-5.24812,-0.985166,-0.0180204,-0.170657,-0.0194547,0.999788,0.00673598,20.3527,5.64111,0
26624,0,3.65268,-15.4222,-0.0798608,-0.294987,0.271188,-0.916209,-0.36005,0.856649,0.369482,0.981705,-0.637736,0
22528,0,-2.70453,11.9283,4.18538,0.586911,-0.641952,-0.493389,-0.606889,-0.752178,0.256739,9.72994,4.58131,0
14336,0,-15.4728,4.43847,-3.73317,-0.714906,0.191902,0.672371,-0.219095,-0.974655,0.0452221,15.2305,4.14349,0
30720,0,6.15487,9.66773,4.25003,0.740325,0.606085,0.290827,-0.646985,0.759863,0.0633949,18.9544,5.93561,0
33792,0,9.88404,9.59887,-6.70293,0.841676,0.523124,0.133876,-0.537451,0.835555,0.11399,16.2114,4.54792,0
17408,0,-9.99686,-14.1747,-3.29946,-0.407522,-0.522099,0.749225,-0.766973,0.641001,0.0295069,16.5491,2.2399,0
25600,0,1.18731,-11.8579,-5.86781,-0.671261,-0.441817,-0.595153,-0.561772,0.827059,0.0196362,6.16737,1.42316,0
37888,0,15.9763,-8.29162,-3.81391,-0.385108,0.118283,-0.91526,-0.393249,-0.91824,0.046797,15.1596,1.57636,0
21504,0,-5.92172,1.43148,3.27614,0.516703,0.0106952,-0.856098,-0.0296676,-0.999098,-0.0303878,23.7334,8.01306,0
13312,0,-17.7581,2.75032,1.30958,0.159595,-0.000592656,0.987182,-0.183899,-0.982513,0.0291406,16.3964,1.66456,0
29696,0,5.65556,3.88851,0.617824,0.391026,0.216838,0.894472,-0.449692,0.892962,-0.0198852,24.375,12.8545,0
35840,0,13.4273,3.35452,-7.18576,-0.948319,-0.17116,-0.267198,-0.187403,0.981611,0.0363211,15.9506,5.39839,0
19456,0,-7.40603,18.7248,0.502406,0,0,0,0,0,0,0,0,0
27648,0,0.254577,19.9635,0.0598014,0,0,0,0,0,0,0,0,0
23552,0,-2.33146,13.859,-3.73179,-0.077869,0.0436829,-0.996006,-0.379822,0.922396,0.0701495,8.92965,1.58645,0
15360,0,-13.8001,-6.15792,5.83184,0.743904,0.440172,0.502848,-0.402591,0.895757,-0.188522,17.7794,6.36517,0
31744,0,6.25873,-18.6376,-3.92595,0,0,0,0,0,0,0,0,0
33280,0,8.87748,-18.0601,-1.97882,0,0,0,0,0,0,0,0,0
16896,0,-12.2319,-6.2744,-4.89183,-0.910817,-0.296521,0.287207,-0.323629,0.944816,-0.0508657,15.399,4.32687,0
25088,0,1.30108,-18.9977,0.813713,0,0,0,0,0,0,0,0,0
37376,0,14.9966,-8.02512,2.11626,0.614711,-0.270783,-0.740815,-0.334384,-0.940111,0.0661664,14.4899,2.49643,0
20992,0,-5.01443,17.7107,-4.2749,0,0,0,0,0,0,0,0,0
29184,0,2.57843,19.9825,0.113013,0.165161,0.337927,-0.926567,-0.975142,-0.0847522,-0.20473,11.3109,0.884537,0
35328,0,12.2483,11.9382,-5.07618,-0.606383,-0.377499,-0.699853,-0.599748,0.795019,0.0908168,14.9917,3.40253,0
18944,0,-8.63438,-11.0905,6.09689,0.793487,0.570749,0.211242,-0.604881,0.777868,0.170411,18.5198,3.56359,0
27136,0,-0.822336,12.628,3.74638,0.558039,0.716879,0.417945,-0.79431,0.607214,0.0190394,8.67105,2.73428,0
23040,0,-3.36172,-8.07408,4.58278,0.481151,0.654147,-0.583596,-0.770746,0.632843,0.0738989,24.3519,8.66615,0
14848,0,-15.0068,1.61822,5.50978,0.863541,-0.0393629,0.502741,-0.0755957,-0.995788,0.0518812,14.7221,5.21194,0
31232,0,6.25829,-7.16315,-6.203,-0.788373,0.394125,0.472371,-0.431101,-0.901706,0.0328469,27.1942,7.02562,0
34304,0,10.1776,-3.86273,3.97876,0.976231,-0.127844,0.175013,-0.134117,-0.990664,0.0244501,20.5775,5.58636,0
17920,0,-10.1139,14.7169,4.18462,0.687434,-0.389101,0.613217,-0.584435,-0.797633,0.149052,16.8756,2.99374,0
26112,0,2.26191,-12.8889,-3.47398,-0.190588,0.0456829,-0.980607,-0.130409,0.988885,0.0714144,5.87112,1.21305,0
38400,0,17.6163,-1.86517,0.298563,0.385815,-0.0383879,-0.921777,-0.0480682,-0.998613,0.0214686,14.4456,3.02941,0
22016,0,-2.74462,-15.8488,4.44983,0.27239,0.87522,0.399741,-0.951554,0.18344,0.246769,13.3372,4.12726,0
13824,0,-16.1369,5.52079,3.60527,0.549319,-0.178428,0.81634,-0.292659,-0.956141,-0.012052,14.991,3.11987,0
30208,0,4.22533,-15.6826,-6.59416,0.405616,-0.863032,0.301084,-0.910322,-0.351723,0.218186,8.24183,2.16765,0
36352,0,14.0174,-3.89114,3.57995,0.918516,-0.103859,-0.381499,-0.114255,-0.993441,-0.0046318,12.4424,5.29356,0
19968,0,-7.5055,6.23869,-4.97469,-0.859958,0.357898,-0.363843,-0.421729,-0.899821,0.111657,20.2316,6.76239,0
28160,0,2.65547,10.9095,-5.69643,-0.504917,-0.756479,0.41569,-0.830027,0.557683,0.00668991,28.6365,6.14225,0
24064,0,-3.55407,-4.25137,0.577756,0.269534,-0.181301,-0.94577,-0.503284,0.810796,-0.298858,45.1335,28.3377,0
15872,0,-12.9992,14.5273,-0.0380345,0.0317035,0.0748297,0.996692,-0.562883,-0.822688,0.0796704,15.0821,1.09728,0
32256,0,7.83209,9.19079,4.45941,0.829143,0.535122,0.161758,-0.548251,0.834925,0.0481692,22.9711,5.07466,0
33024,0,8.92333,8.45076,4.5638,0.820479,0.551409,0.150874,-0.55655,0.830758,-0.00960737,16.0149,5.82381,0
16640,0,-10.9044,17.1339,0.526567,0,0,0,0,0,0,0,0,0
24832,0,-1.55453,-6.25833,-2.50395,0.565872,0.388087,0.727445,-0.810571,0.423307,0.404704,33.1905,24.9251,0
37120,0,15.6861,8.22943,1.16487,0.443515,0.248125,-0.861237,-0.364667,0.927739,0.0794907,12.7596,4.42359,0
20736,0,-6.93041,3.84269,-4.01599,-0.777041,0.187327,-0.600929,-0.282773,-0.956817,0.0673778,21.2665,7.49992,0
28928,0,4.21749,6.79143,-3.92912,-0.445395,-0.346271,0.825663,-0.657058,0.752846,-0.0387099,27.4746,8.51306,0
35072,0,11.9691,-1.62218,-7.5413,-0.998987,0.044682,-0.00533702,-0.0446845,-0.999001,0.00036628,17.3384,6.07403,0
18688,0,-8.71318,16.519,-3.67568,-0.391098,0.484748,0.782343,-0.742119,-0.668859,0.0434421,7.31311,0.349703,0
26880,0,-2.08609,14.2001,3.32722,0.464147,-0.325751,0.823683,-0.327716,0.800775,0.501359,2.60172,1.02175,0
22784,0,-2.48077,-19.2412,-3.50697,0,0,0,0,0,0,0,0,0
14592,0,-14.4996,-11.3367,1.35473,0.135031,-0.0071219,0.990816,-0.515883,0.853242,0.0764391,10.8773,2.20945,0
30976,0,6.09724,-18.9957,-2.87394,0,0,0,0,0,0,0,0,0
34048,0,9.61223,-15.9271,-5.01922,0,0,0,0,0,0,0,0,0
17664,0,-11.5868,-1.53851,-5.321,0.983883,0.176763,-0.0269931,-0.177687,0.983397,-0.0368481,20.6335,5.46461,0
25856,0,2.52918,-16.5515,-3.33683,-0.173986,0.523467,-0.834093,0.274038,0.839291,0.469567,3.08946,0.970969,0
38144,0,16.4159,5.77451,-4.60097,-0.521892,-0.139843,-0.841471,-0.283915,0.958703,0.0167624,13.5247,2.21075,0
21760,0,-4.00669,15.1448,-5.61025,0.537102,-0.84021,-0.0746178,0.785953,0.466368,0.40593,7.08663,3.984,0
13568,0,-16.6614,-6.50381,-0.511332,-0.207091,-0.0540806,0.976826,-0.417103,0.908058,-0.038154,15.3081,1.90404,0
29952,0,3.57555,16.9326,-5.75625,-0.434343,-0.786471,-0.4391,-0.874642,0.484759,-0.00308365,13.0867,3.34535,0
36096,0,12.1816,-14.8976,-1.98418,0.0412943,-0.00658189,-0.999125,-0.552952,-0.833032,-0.017366,9.40767,0.578232,0
19712,0,-8.21666,-9.13524,-5.31649,0.789556,0.613312,-0.0212024,0.607806,-0.786302,-0.110911,20.7552,4.02788,0
27904,0,0.926015,17.5712,3.32037,0.00497023,0.782553,-0.622564,-0.999961,-0.000622563,-0.00876573,11.5908,3.0937,0
23808,0,-1.20964,-16.4898,-6.32612,-0.0849014,-0.905801,0.415109,-0.992021,0.115813,0.0498182,9.98536,4.7458,0
15616,0,-13.7073,7.76171,5.55322,0.716265,-0.396524,0.574224,-0.320474,-0.917879,-0.234083,9.03003,3.27061,0
32000,0,7.4946,-6.13315,-6.60649,-0.871075,0.278311,0.404687,-0.301404,-0.953471,0.00695882,25.6797,6.61339,0
33536,0,9.92601,-6.39067,4.08664,0.949509,-0.298873,0.0954289,-0.303162,-0.952339,0.0338125,21.719,5.62307,0
17152,0,-10.5667,9.56348,6.26492,0.90547,-0.391375,0.164162,-0.417765,-0.890098,0.182205,13.3596,4.40103,0
25344,0,-0.42079,-6.18733,-2.10379,0.956223,0.0619869,0.286,-0.27778,0.499739,0.820427,42.6696,15.0482,0
37632,0,16.1037,4.19115,-5.49701,-0.670369,-0.0911048,-0.736414,-0.182373,0.982222,0.0445025,13.7304,3.35636,0
21248,0,-5.05369,-11.698,-5.91312,0.536433,0.843883,0.0100468,0.824634,-0.521591,-0.21891,21.6722,5.35864,0
13056,0,-17.5235,-2.1173,-1.08817,-0.31027,0.0216048,0.950403,-0.182491,0.979795,-0.0818491,13.3196,1.78994,0
29440,0,4.35157,-7.18352,-5.01086,-0.656992,0.380422,0.650877,-0.503289,-0.864113,-0.00296415,32.2743,9.49004,0
35584,0,11.6841,-11.423,-6.14888,-0.702738,0.478005,-0.526945,-0.567061,-0.823626,0.00910451,16.3325,2.93351,0
19200,0,-9.21869,5.75187,-5.30877,-0.937688,0.286684,-0.196351,-0.30289,-0.951287,0.0575375,20.8742,5.31853,0
27392,0,0.282781,9.24572,1.95632,0.389126,0.596036,0.702369,-0.89391,0.428483,0.131629,29.8882,11.6939,0
23296,0,-3.67036,5.70716,-1.98975,-0.435797,0.169198,-0.883998,-0.652314,-0.736097,0.18069,26.9625,21.3416,0
15104,0,-13.6073,12.8422,-1.84761,-0.302311,0.23509,0.923765,-0.482109,-0.873728,0.0645812,15.2099,1.68283,0
31488,0,7.10477,8.83624,-6.40813,-0.767778,-0.573832,0.285016,-0.589849,0.806742,0.0353025,15.4479,4.68262,0
34560,0,10.7105,10.1131,-6.49133,-0.806595,-0.509554,-0.299599,-0.555725,0.826416,0.0905936,15.624,4.3541,0
18176,0,-8.44264,-15.7147,3.947,0.568231,0.394513,0.722131,-0.765293,0.575863,0.28759,12.1538,1.27536,0
26368,0,1.82417,-9.50733,-3.84805,0.0368652,-0.126939,-0.991225,-0.716082,0.68851,-0.114805,16.3546,3.11943,0
38656,0,17.8752,-3.64565,-2.26493,-0.0729477,0.0187742,-0.997159,-0.108027,-0.994089,-0.0108136,11.8818,1.69576,0
22272,0,-5.32296,-1.31695,2.74472,0.447724,-0.029533,-0.893684,-0.155138,0.981731,-0.110165,19.8914,10.4791,0
14080,0,-15.5479,-7.83446,3.49017,0.390858,0.221903,0.893302,-0.390186,0.918936,-0.0575477,12.5689,3.98569,0
30464,0,6.34196,-3.33019,-5.21831,-0.702937,0.0535062,0.709237,-0.202737,-0.970872,-0.127691,26.1981,9.61535,0
36608,0,14.4681,11.2536,0.993624,0.274298,0.240451,-0.931098,-0.560897,0.826482,0.0481963,14.3585,5.19549,0
20224,0,-5.93529,18.208,1.46061,0,0,0,0,0,0,0,0,0
28416,0,2.58872,-11.8177,-5.95951,-0.351259,0.768548,0.534744,0.726657,0.583935,-0.361926,18.9743,2.79143,0
24320,0,-1.23509,9.48091,-3.67854,-0.591257,0.452936,-0.667282,-0.539869,-0.836951,-0.0897434,17.7464,9.07731,0
16128,0,-13.1377,-6.51275,-4.51755,-0.838886,-0.292173,0.459245,-0.342851,0.938945,-0.0289139,20.367,4.53125,0
32512,0,7.77398,-18.6332,-1.73441,0,0,0,0,0,0,0,0,0
32896,0,9.22442,1.9211,3.44758,0.904086,0.15199,0.399409,-0.150492,0.98798,-0.0353158,19.4121,5.12185,0
16512,0,-11.7001,14.5377,3.13856,0.599637,-0.138598,0.788179,-0.537707,-0.799222,0.268541,14.9049,2.46047,0
24704,0,-0.450494,-13.1604,4.66404,0.250825,0.967892,0.0164906,-0.92729,0.235344,0.291113,16.4391,5.70554,0
36992,0,15.6255,0.588424,2.79544,0.79086,0.117342,-0.600643,-0.102472,0.992981,0.0590663,15.1859,5.00098,0
20608,0,-7.58028,-3.1743,-4.36753,-0.858869,-0.175041,-0.481357,-0.21394,0.976484,0.026637,22.6733,5.98476,0
28800,0,5.51594,3.00202,-2.11152,-0.142251,0.0182774,0.989662,-0.199902,0.978697,-0.0468083,27.6891,15.8711,0
34944,0,11.6005,-10.2872,3.65127,0.74015,-0.559498,-0.373016,-0.622327,-0.780071,-0.0647882,13.728,4.94133,0
18560,0,-9.82883,8.65436,-5.5598,-0.910604,0.402251,0.0948391,0.396335,0.915001,-0.0754454,16.9536,4.74843,0
26752,0,4.09352,-16.8714,0.0398651,-0.440288,-0.226647,-0.868779,-0.269394,0.956381,-0.112974,0.283818,-1.12218,0
22656,0,-3.42196,17.2818,-1.86157,0.261704,-0.810233,-0.524436,0.247699,-0.46879,0.847869,3.27728,-0.945831,0
14464,0,-15.3609,10.3805,1.88582,0.194461,-0.044784,0.979887,-0.386503,-0.92164,0.0345803,11.7045,3.08036,0
30848,0,5.01567,17.3601,-5.04317,-0.380694,-0.68251,-0.623901,-0.873891,0.48612,0.00144777,15.5656,2.13538,0
33920,0,9.40631,15.8681,-3.87939,-0.368384,-0.434705,-0.821781,-0.802678,0.594694,0.0452404,15.452,2.26072,0
17536,0,-11.3309,-9.06765,-4.75356,-0.78096,-0.491959,0.384809,-0.518894,0.853964,0.0386662,18.7639,4.02227,0
25728,0,1.52996,-6.69753,0.404602,0.84285,-0.133334,-0.52137,-0.311573,0.66902,-0.674785,32.7832,15.6397,0
38016,0,17.3575,-2.63454,0.724137,0.475009,-0.03894,-0.879119,-0.0750468,-0.997173,0.0036195,15.4107,3.12774,0
21632,0,-4.82097,7.05394,-4.13072,-0.751188,0.326489,-0.573691,-0.530424,-0.815874,0.230219,25.6961,9.84925,0
13440,0,-17.0011,5.94429,-0.272686,-0.121524,0.0657375,0.990409,-0.259996,-0.965074,0.0321541,13.0364,1.26164,0
29824,0,4.45389,10.1488,3.97478,0.633762,0.665463,0.394341,-0.737246,0.673949,0.0475487,19.909,6.25052,0
35968,0,12.7223,10.6544,-5.55549,-0.651283,-0.447818,-0.612609,-0.618437,0.781056,0.0865272,14.5956,4.06956,0
19584,0,-6.46372,-16.4513,-4.29678,-0.298002,-0.644741,0.70392,-0.83395,0.534653,0.136655,13.3862,2.49977,0
27776,0,1.63031,10.0648,3.04872,0.376776,0.738884,0.55865,-0.881879,0.470659,-0.0277307,30.1374,7.9023,0
23680,0,-3.12738,17.06,0.0721191,-0.0951017,-0.208939,-0.973294,0.0696682,-0.976725,0.202868,1.79481,-1.37322,0
15488,0,-14.284,-0.379682,-4.80037,-0.916115,-0.0518526,0.397549,-0.0558504,0.998438,0.00152508,16.8071,5.48799,0
31872,0,6.77442,-13.6481,-6.97704,0.59906,-0.783484,0.16517,-0.799194,-0.597734,0.0632694,14.0723,3.47579,0
33408,0,9.48328,-13.5089,2.66093,0.49319,-0.657134,-0.570033,-0.799909,-0.600121,-0.000259255,13.5264,0.687014,0
17024,0,-11.9334,1.37437,6.40433,0.997669,-0.0563573,0.038466,-0.0586013,-0.99648,0.0599413,17.2992,6.28442,0
25216,0,0.609781,-12.9777,4.38397,0.301865,0.950175,-0.0777451,-0.913024,0.3116,0.263235,15.1207,4.79427,0
37504,0,16.2149,-2.08191,-5.89738,-0.733002,0.0368606,-0.679227,-0.0679353,-0.997505,0.0191807,14.4103,3.81307,0
21120,0,-4.6769,-18.4549,1.91902,0.311728,0.426955,0.848843,-0.924815,0.341343,0.167937,17.6012,0.0549426,0
12928,0,-17.9834,0.748205,1.15007,0.120202,0.0376755,0.992034,-0.00964226,0.999277,-0.0367823,12.3462,1.80232,0
29312,0,3.59598,-11.9853,3.1019,0.532617,-0.776842,0.33591,-0.632765,-0.629075,-0.451522,8.42937,3.91411,0
35456,0,11.1979,-14.9003,-4.67628,-0.415817,0.422837,-0.805174,-0.63286,-0.770355,-0.0777238,13.1931,2.02944,0
19072,0,-9.43014,-2.91397,-5.05893,-0.9595,-0.133028,-0.24832,-0.137597,0.990488,0.00105474,19.3501,5.04208,0
27264,0,-0.76376,18.6453,1.66071,0,0,0,0,0,0,0,0,0
23168,0,-4.98026,-1.64438,-1.30881,-0.438179,0.370178,-0.819126,-0.0134928,0.908455,0.417765,22.9106,16.0925,0
14976,0,-14.9338,8.7833,4.09452,0.4935,-0.338177,0.801308,-0.370969,-0.915148,-0.157753,14.9014,4.89896,0
31360,0,7.3068,0.762499,-5.47768,-0.689622,-0.0580529,0.721839,0.0261712,-0.998128,-0.05527,18.994,7.4808,0
34432,0,11.7932,3.20734,-7.39156,0.978885,0.204403,0.00166277,0.204183,-0.977384,-0.0550487,15.9634,5.78384,0
18048,0,-8.36352,-16.4742,-2.55651,-0.189773,-0.420637,0.887159,-0.793335,0.598045,0.113854,13.9252,1.37819,0
26240,0,1.94359,-11.5808,-3.94831,-0.205685,0.153741,-0.966466,-0.148893,0.971169,0.186177,12.3593,2.2186,0
38528,0,17.0116,4.39181,-4.11451,-0.420683,-0.0555832,-0.905503,-0.170463,0.985186,0.01872,12.1869,1.67626,0
22144,0,-4.10288,-7.90332,-4.64382,0.63396,0.61891,0.46373,-0.753463,0.62945,0.189966,28.3495,7.3775,0
13952,0,-15.075,-9.65687,-1.07528,-0.280968,-0.168455,0.944817,-0.431174,0.901682,0.032543,12.6319,2.17369,0
30336,0,4.94122,-10.5488,3.48159,0.633495,-0.715019,0.295689,-0.73231,-0.677443,-0.0692282,19.5784,4.00286,0
