Left GC Pressure,Right GC Pressure,Area
0.2,1.8,79.06
0.4,1.6,84.79
0.6,1.4,88.26
0.8,1.2,89.99
1,1,90.53
1.2,0.8,89.86
1.4,0.6,88.06
1.6,0.4,84.57
1.8,0.2,79.03
2,2.22045e-16,59.73
