Left GC Pressure,Right GC Pressure,Area
0.1,0.9,67.88
0.2,0.8,72.25
0.3,0.7,74.97
0.4,0.6,76.49
0.5,0.5,76.97
0.6,0.4,76.47
0.7,0.3,74.98
0.8,0.2,72.32
0.9,0.1,68.22
1,1.11022e-16,53.26
