Left GC Pressure,Right GC Pressure,Area
0.7,6.3,116.9
1.4,5.6,126.53
2.1,4.9,131.18
2.8,4.2,132.67
3.5,3.5,133.19
4.2,2.8,132.27
4.9,2.1,130.05
5.6,1.4,124
6.3,0.7,115.1
