Left GC Pressure,Right GC Pressure,Area
0.5,4.5,103.68
1,4,111.89
1.5,3.5,116.25
2,3,117.79
2.5,2.5,118.23
3,2,117.58
3.5,1.5,115.51
4,1,110.6
4.5,0.5,102.36
5,0,77.08
