Left GC Pressure,Right GC Pressure,Area
0.9,8.1,128.56
1.8,7.2,139.68
2.7,6.3,144.42
3.6,5.4,146.11
4.5,4.5,146.49
5.4,3.6,145.37
6.3,2.7,142.98
7.2,1.8,135.28
8.1,0.9,125.97
