Left GC Pressure,Right GC Pressure,Area
0.2,1.8,78.96
0.4,1.6,84.81
0.6,1.4,88.22
0.8,1.2,89.9
1,1,90.45
1.2,0.8,89.81
1.4,0.6,88.16
1.6,0.4,84.65
1.8,0.2,79.05
2,0,59.76
